LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,BILL_AMT_DEV,BILL_AMT1,BILL_AMT2,BILL_AMT3,PAY_AMT_DEV,PAY_AMT1,PAY_AMT2,PAY_AMT3
20000,2,2,1,24,2,2,0,0.217682301,3913,3102,689,0.577350269,0,689,0
120000,2,2,2,26,0,2,0,0.077941065,2682,1725,2682,0.288675135,0,1000,1000
90000,2,2,2,34,0,0,0,0.156987625,29239,14027,13559,0.073172989,1518,1500,1000
50000,2,2,1,37,0,0,0,0.007969739,46990,48233,49291,0.089569187,2000,2019,1200
50000,1,2,1,57,0,0,0,0.331799445,8617,5670,35835,0.373034588,2000,36681,10000
50000,1,1,2,37,0,0,0,0.0228162,64400,57069,57608,0.187361471,2500,1815,657
500000,1,1,2,29,0,0,0,0.031553941,367965,412023,445007,0.069861453,55000,40000,38000
100000,2,2,2,23,0,0,0,0.511344029,11876,380,601,0.30987278,380,601,0
140000,2,3,1,28,0,0,2,0.038549322,11285,14096,12108,0.481314647,3329,0,432
20000,1,3,2,35,0,0,0,0,0,0,0,0,0,0,0
200000,2,3,2,34,0,0,2,0.109806942,11073,9787,5535,0.554733647,2306,12,50
260000,2,1,2,51,0,0,0,0.141282557,12261,21670,9966,0.180219785,21818,9966,8583
630000,2,2,2,41,0,0,0,0.129471435,12137,6500,6500,0.226816177,1000,6500,6500
70000,1,2,2,30,1,2,2,0.004702665,65802,67369,65701,0.289125369,3200,0,3000
250000,1,1,2,29,0,0,0,0.01818401,70887,67060,63561,0,3000,3000,3000
50000,2,3,3,23,1,2,0,0.117652913,50614,29173,28116,0.29874821,0,1500,1100
20000,1,1,2,24,0,0,2,0.027230246,15376,18010,17428,0.340647091,3200,0,1500
320000,1,1,1,49,0,0,0,0.046186025,253286,246536,194663,0.394271459,10358,10000,75940
360000,2,1,1,49,1,0,0,0,0,0,0,0,0,0,0
180000,2,1,2,29,1,0,0,0,0,0,0,0,0,0,0
130000,2,3,2,39,0,0,0,0.080213568,38358,27688,24489,0.18694451,3000,1537,1000
120000,2,2,1,39,0,0,0,0,316,316,316,0.288675135,316,316,0
70000,2,2,2,26,2,0,0,0.015539511,41087,42445,45020,0.321226777,2007,3582,0
450000,2,1,1,40,0,0,0,0.356557048,5512,19420,1473,0.495768238,19428,1473,560
90000,1,1,2,23,0,0,0,0.304998794,4744,7070,0,0.289123274,5757,0,5398
50000,1,3,2,23,0,0,0,0.046220527,47620,41810,36023,0.11074418,1973,1426,1001
60000,1,1,2,27,1,0,0,1.244833732,-109,-425,259,0.577350269,0,1000,0
50000,2,3,2,30,0,0,0,0.0615895,22541,16138,17163,0.048112522,1300,1300,1000
50000,2,3,1,47,0,0,0,0.213428986,650,3415,3416,0.08933389,3415,3421,2044
50000,1,1,2,26,0,0,0,0.022015269,15329,16575,17496,0.072168784,1500,1500,1000
230000,2,1,2,27,0,0,0,0.045626067,16646,17265,13266,0.04346997,17270,13281,15339
50000,1,2,2,33,2,0,0,0.056192206,30518,29618,22102,0.087272194,1718,1500,1000
100000,1,1,2,32,0,0,0,0.021354095,93036,84071,82880,0.024891757,3023,3511,3302
500000,2,2,1,54,0,0,0,0.248584213,10929,4152,22722,0.288494251,4152,22827,7521
500000,1,1,1,58,0,0,0,0.266872015,13709,5006,31130,0.39793116,5006,31178,3180
160000,1,1,2,30,0,0,0,0.59663471,30265,-131,-527,0.165761453,131,396,396
280000,1,2,1,40,0,0,0,0.005984012,186503,181328,180422,0.044959577,8026,8060,6300
60000,2,2,2,22,0,0,0,0.076243949,15054,9806,11068,0.060943762,1500,1518,2043
50000,1,1,2,25,1,0,0,0.577350269,0,780,0,0.577350269,780,0,0
280000,1,1,2,31,0,0,2,0.30176746,498,9075,4641,0.289642049,9075,0,9976
360000,1,1,2,33,0,0,0,0.011856044,218668,221296,206895,0.090507217,10000,7000,6000
70000,2,1,2,25,0,0,0,0.009721126,67521,66999,63949,0.066601462,3000,4500,4042
10000,1,2,2,22,0,0,0,0.19058822,1877,3184,6003,0.184258614,1500,2927,1000
140000,2,2,1,37,0,0,0,0.009354885,59504,61544,62925,0,3000,3000,3000
40000,2,1,2,30,0,0,0,0.053780908,18927,21295,25921,0.314576435,3000,5000,0
210000,1,1,2,29,0,0,0,0,0,0,0,0,0,0,0
20000,2,1,2,22,0,0,2,0.027369339,14028,16484,15800,0.452172109,3000,0,16741
150000,2,5,2,46,0,0,0,0.190525167,4463,3034,1170,0.290906226,1013,1170,0
380000,1,2,2,32,0,0,0,0.067210541,22401,21540,15134,0.079239452,21540,15138,24677
20000,1,1,2,24,0,0,0,0.018312521,17447,18479,19476,0.105972497,1318,1315,704
70000,1,3,2,42,1,2,2,0.009854341,37042,36171,38355,0.308161444,0,3100,2000
100000,2,3,3,43,0,0,0,0.056924504,61559,51163,43824,0.051598428,2000,1606,1500
310000,2,2,1,49,0,0,0,0.114467541,13465,7867,7600,0.074837161,7875,7600,11185
180000,2,1,2,25,1,2,0,0.005603762,41402,41742,42758,0.071043973,1300,2010,1762
150000,2,1,2,29,2,0,0,0.068525979,46224,34993,31434,0.081770435,1600,1718,1049
500000,2,1,1,45,0,0,0,0.304713778,1905,3640,162,0.540869411,3640,162,0
180000,2,3,1,34,0,0,0,0.108956339,16386,15793,8441,0.216339366,8500,1500,7500
180000,2,2,1,34,0,0,0,0.003505851,175886,173440,172308,0.070798484,8083,7296,5253
200000,2,1,2,34,0,3,2,0.11698483,1587,1098,782,0.577350269,0,0,700
400000,2,2,1,29,0,0,0,0.002321312,400134,398857,404205,0.131139471,17000,15029,30000
500000,2,3,1,28,0,0,0,0.039026097,22848,23638,18878,0.067908027,1516,1300,1000
70000,1,2,1,39,0,0,0,0.005015097,70800,72060,69938,0.215110515,4025,2095,1000
50000,1,1,2,29,2,2,2,0.015494463,24987,24300,26591,0.577350269,0,2700,0
50000,2,2,1,46,0,0,0,0.288701072,28718,29166,0,0.577350269,1000,0,0
130000,2,2,1,51,0,0,0,0.577350269,99,0,0,0,0,0,0
200000,1,1,1,57,0,0,0,0.009497361,152519,148751,144076,0.577350269,0,0,8222
10000,1,2,1,56,2,2,2,0.112298692,2097,4193,3978,0.525221174,2300,0,150
210000,2,1,2,30,2,0,0,0.281946493,300,300,1159,0.265548236,300,1159,2280
130000,2,3,2,29,1,0,0,0.280402393,-190,-9850,-9850,0.577350269,0,0,20161
20000,1,5,2,22,2,0,0,0.014390357,18565,17204,17285,0.292231841,0,1200,1000
80000,1,1,2,31,0,0,0,0.333333333,780,0,390,0.288675135,0,390,390
320000,1,2,2,29,2,2,2,0.005394425,58267,59246,60184,0.288675135,2500,2500,0
200000,2,2,1,32,0,0,0,0.350214992,9076,5787,-684,0.308089916,5818,15,9102
290000,2,1,2,37,1,0,0,0.577350269,0,0,3155,0.577350269,0,3155,0
340000,1,1,2,32,0,0,0,0.346408523,3048,5550,23337,0.318668038,5713,23453,4314
20000,1,2,2,24,0,0,2,0.028141387,14619,17216,16642,0.433721857,2850,0,610
50000,1,3,2,25,0,0,0,0.031117089,42838,37225,36087,0.216858555,1759,1779,320
300000,2,1,1,45,0,0,0,0,291,291,291,0,291,291,291
30000,2,2,2,22,0,0,0,0.011102837,28387,29612,30326,0.160524883,1686,1400,560
240000,2,2,2,44,1,0,0,0,0,0,0,0,0,0,0
470000,2,3,3,33,0,0,0,0.007816807,165254,157784,162702,0.139828924,6400,7566,3000
360000,2,1,2,26,0,0,0,0.043282052,23411,27796,30400,0.080125675,4796,3400,3100
60000,1,3,2,30,0,0,0,0.011038277,26324,27471,28108,0.136063369,1576,1213,648
400000,2,2,1,44,0,0,2,0.015521841,131595,139060,126819,0.40071894,10700,3,3050
50000,2,3,2,49,0,0,0,0.131385619,48909,47863,21489,0.133882143,1676,1302,700
160000,1,2,2,33,0,0,0,0.094628945,130028,107808,71934,0.499118699,4400,3547,80000
360000,2,1,1,45,0,0,2,0.166666667,390,1170,780,0.577350269,1170,0,0
160000,2,2,2,32,0,0,0,0.093182108,3826,4751,6604,0.095682879,1147,2000,2000
130000,2,1,1,35,0,0,0,0.233575626,81313,117866,17740,0.460732074,40000,5000,1330
20000,1,3,2,44,2,2,0,0.026806036,8583,8303,9651,0.31370242,0,1651,1000
200000,1,1,1,53,2,2,2,0.005116092,138180,140774,142460,0.026698278,6300,5500,5500
280000,2,1,2,39,0,0,0,0.327521716,7524,0,3968,0.577350269,0,3968,0
100000,2,1,2,27,0,0,0,1.101102351,-2000,5555,0,0.577350269,7555,0,0
160000,2,2,1,37,0,0,0,0.129097082,880,1602,840,0.134046589,1602,840,840
60000,2,2,2,23,0,0,0,0.005865765,45648,46850,47214,0.160081426,1937,1301,682
90000,1,2,2,35,0,0,0,0.007661931,83725,85996,87653,0.167084968,3621,3597,1179
360000,1,1,1,43,0,0,0,0.171844859,3967,8322,3394,0.19302938,8339,3394,12902
150000,1,1,2,27,0,0,0,0.006519762,86009,86108,89006,0.213279808,4031,10006,3266
50000,2,3,1,22,0,0,0,0.016328742,18722,18160,16997,0.182342691,1411,1194,379
20000,1,2,1,38,0,0,0,0.015212779,17973,19367,19559,0.148830742,1699,1460,626
140000,1,1,2,32,0,0,0,0.465081232,672,10212,850,0.482269054,10212,850,415
380000,2,1,2,30,0,0,0,0.587723283,-81,-303,32475,0.542603944,223,33178,1171
480000,1,1,1,63,0,0,0,0.023103038,422069,431342,479432,0.254703367,16078,55693,17000
